,Team,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total,Number of Olympic Games,Gold,Silver,Bronze,Total
70,Kazakhstan ,7,14,22,35,71,8,1,3,4,8,15,15,25,39,79
71,Kenya ,15,35,42,36,113,4,0,0,0,0,19,35,42,36,113
72,Kosovo ,2,3,0,0,3,2,0,0,0,0,4,3,0,0,3
73,North Korea ,10,16,16,23,55,9,0,1,1,2,19,16,17,24,57
74,South Korea ,18,96,91,100,287,19,33,30,16,79,37,129,121,116,366
75,Kuwait ,13,0,0,3,3,0,0,0,0,0,13,0,0,3,3
76,Kyrgyzstan ,7,0,3,4,7,8,0,0,0,0,15,0,3,4,7
77,Latvia ,12,4,11,6,21,12,1,3,6,10,24,5,14,12,31
78,Lebanon ,18,0,2,2,4,18,0,0,0,0,36,0,2,2,4
79,Liechtenstein ,18,0,0,0,0,20,2,2,6,10,38,2,2,6,10
80,Lithuania ,10,6,7,13,26,10,0,0,0,0,20,6,7,13,26
81,Luxembourg ,25,2,1,0,3,10,0,2,0,2,35,2,3,0,5
82,Malaysia ,14,0,8,5,13,2,0,0,0,0,16,0,8,5,13
83,Mauritius ,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
84,Mexico ,24,13,24,35,72,10,0,0,0,0,34,13,24,35,72
85,Moldova ,7,0,2,4,6,8,0,0,0,0,15,0,2,4,6
86,Mongolia ,14,2,11,17,30,15,0,0,0,0,29,2,11,17,30
87,Montenegro ,4,0,1,0,1,4,0,0,0,0,8,0,1,0,1
88,Morocco ,15,7,5,12,24,8,0,0,0,0,23,7,5,12,24
89,Mozambique ,11,1,0,1,2,0,0,0,0,0,11,1,0,1,2
90,Namibia ,8,0,5,0,5,0,0,0,0,0,8,0,5,0,5
91,Netherlands ,27,95,105,122,322,22,53,49,45,147,49,148,154,167,469
92,Netherlands Antilles ,13,0,1,0,1,2,0,0,0,0,15,0,1,0,1
93,New Zealand ,24,53,33,51,137,17,2,2,2,6,41,55,35,53,143
94,Niger ,13,0,1,1,2,0,0,0,0,0,13,0,1,1,2
95,Nigeria ,17,3,11,13,27,2,0,0,0,0,19,3,11,13,27
96,North Macedonia ,7,0,1,1,2,7,0,0,0,0,14,0,1,1,2
97,Norway ,27,61,52,50,163,24,148,134,123,405,51,209,186,173,568
98,Pakistan ,18,3,3,4,10,4,0,0,0,0,22,3,3,4,10
99,Panama ,18,1,0,2,3,0,0,0,0,0,18,1,0,2,3
100,Paraguay ,13,0,1,0,1,1,0,0,0,0,14,0,1,0,1
101,Peru ,19,1,3,0,4,3,0,0,0,0,22,1,3,0,4
102,Philippines ,22,1,5,8,14,6,0,0,0,0,28,1,5,8,14
103,Poland ,22,72,89,137,298,24,7,7,9,23,46,79,96,146,321
104,Portugal ,25,5,9,14,28,9,0,0,0,0,34,5,9,14,28
105,Puerto Rico ,19,2,2,6,10,8,0,0,0,0,27,2,2,6,10
106,Qatar ,10,2,2,4,8,0,0,0,0,0,10,2,2,4,8
107,Romania ,22,90,97,121,308,22,0,0,1,1,44,90,97,122,309
108,Russia ,6,147,126,151,424,6,47,39,35,121,12,194,165,186,545
109,Russian Empire ,3,1,4,3,8,0,0,0,0,0,3,1,4,3,8
110,Soviet Union ,9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204
111,Unified Team ,1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
112,Olympic Athletes from Russia ,0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
113,ROC ,1,20,28,23,71,1,6,12,14,32,2,26,40,37,103
114,San Marino ,15,0,1,2,3,11,0,0,0,0,26,0,1,2,3
115,Saudi Arabia ,12,0,2,2,4,1,0,0,0,0,13,0,2,2,4
116,Samoa ,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
117,Senegal ,15,0,1,0,1,5,0,0,0,0,20,0,1,0,1
118,Serbia ,5,6,7,11,24,4,0,0,0,0,9,6,7,11,24
119,Serbia and Montenegro ,3,2,4,3,9,3,0,0,0,0,6,2,4,3,9
120,Singapore ,17,1,2,2,5,1,0,0,0,0,18,1,2,2,5
121,Slovakia ,7,10,14,8,32,8,4,4,2,10,15,14,18,10,42
122,Slovenia ,8,8,9,11,28,9,4,8,12,24,17,12,17,23,52
123,South Africa ,20,27,33,29,89,7,0,0,0,0,27,27,33,29,89
124,Spain ,24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
125,Sri Lanka ,18,0,2,0,2,0,0,0,0,0,18,0,2,0,2
126,Sudan ,13,0,1,0,1,0,0,0,0,0,13,0,1,0,1
127,Suriname ,13,1,0,1,2,0,0,0,0,0,13,1,0,1,2
128,Sweden ,28,147,177,179,503,24,65,51,60,176,52,212,228,239,679
129,Switzerland ,29,53,79,74,206,24,63,47,58,168,53,116,126,132,374
130,Syria ,14,1,1,2,4,0,0,0,0,0,14,1,1,2,4
131,Chinese Taipei ,15,7,11,18,36,13,0,0,0,0,28,7,11,18,36
132,Tajikistan ,7,1,1,2,4,4,0,0,0,0,11,1,1,2,4
133,Tanzania ,14,0,2,0,2,0,0,0,0,0,14,0,2,0,2
134,Thailand ,17,10,8,17,35,5,0,0,0,0,22,10,8,17,35
